wavelength_nm,wavelength_source,Aki,aki_unit,acc,lower_conf,lower_term,lower_J,upper_conf,upper_term,upper_J,lower_energy_eV,upper_energy_eV,energy_unit
2165.54129476,ritz_wl_vac_nm,26.271,1/s,AAA,1s.4f,3F*,2,1s.7d,3D,3,23.737008760725,24.3095408973,eV
2165.54481809,ritz_wl_vac_nm,3662.0,1/s,AA,1s.4f,1F*,3,1s.7d,3D,2,23.737009722091,24.309540927161,eV
2165.54493103,ritz_wl_vac_nm,335.6,1/s,AA,1s.4f,1F*,3,1s.7d,3D,3,23.737009722091,24.3095408973,eV
2182.0550453,ritz_wl_vac_nm,91125.0,1/s,AAA,1s.4d,3D,1,1s.7p,3P*,0,23.73609263507,24.30429185947,eV
2182.0556664,ritz_wl_vac_nm,68335.0,1/s,AAA,1s.4d,3D,2,1s.7p,3P*,1,23.73609033897,24.30428940164,eV
2182.0558634,ritz_wl_vac_nm,76545.0,1/s,AAA,1s.4d,3D,3,1s.7p,3P*,2,23.7360901901,24.30428920147,eV
2182.0564351,ritz_wl_vac_nm,13667.0,1/s,AAA,1s.4d,3D,2,1s.7p,3P*,2,23.73609033897,24.30428920147,eV
2182.0644841,ritz_wl_vac_nm,22781.0,1/s,AAA,1s.4d,3D,1,1s.7p,3P*,1,23.73609263507,24.30428940164,eV
2182.0652529,ritz_wl_vac_nm,911.25,1/s,AAA,1s.4d,3D,1,1s.7p,3P*,2,23.73609263507,24.30428920147,eV
2184.638443,ritz_wl_vac_nm,533410.0,1/s,AAA,1s.4p,1P*,1,1s.7d,1D,2,23.7420700688,24.309597381304,eV
2184.855779,ritz_wl_vac_nm,43.3,1/s,AA,1s.4p,1P*,1,1s.7d,3D,2,23.7420700688,24.309540927161,eV
2229.066312,ritz_wl_vac_nm,443670.0,1/s,AAA,1s.4p,1P*,1,1s.7s,1S,0,23.7420700688,24.2982859057,eV
2306.974247,ritz_wl_vac_nm,220450.0,1/s,AAA,1s.4s,1S,0,1s.6p,1P*,1,23.67357059,24.21100267716,eV
2314.523274,ritz_wl_vac_nm,0.4302,1/s,AA,1s.4s,1S,0,1s.6d,1D,2,23.67357059,24.209249793955,eV
2472.964597,ritz_wl_vac_nm,18.42,1/s,AA,1s.4p,3P*,2,1s.6d,1D,2,23.7078912279,24.209249793955,eV
2472.970099,ritz_wl_vac_nm,51.48,1/s,AA,1s.4p,3P*,1,1s.6d,1D,2,23.7078923433,24.209249793955,eV
2473.388665,ritz_wl_vac_nm,22527.0,1/s,AAA,1s.4p,3P*,2,1s.6d,3D,1,23.7078912279,24.209163835045,eV
2473.392009,ritz_wl_vac_nm,202720.0,1/s,AAA,1s.4p,3P*,2,1s.6d,3D,2,23.7078912279,24.209163157329,eV
2473.39224,ritz_wl_vac_nm,810950.0,1/s,AAA,1s.4p,3P*,2,1s.6d,3D,3,23.7078912279,24.209163110443,eV
2473.394168,ritz_wl_vac_nm,337900.0,1/s,AAA,1s.4p,3P*,1,1s.6d,3D,1,23.7078923433,24.209163835045,eV
2473.397512,ritz_wl_vac_nm,608160.0,1/s,AAA,1s.4p,3P*,1,1s.6d,3D,2,23.7078923433,24.209163157329,eV
2473.461664,ritz_wl_vac_nm,450530.0,1/s,AAA,1s.4p,3P*,0,1s.6d,3D,1,23.7079060221,24.209163835045,eV
2596.493058,ritz_wl_vac_nm,16011.0,1/s,AAA,1s.5s,3S,1,1s.10p,3P*,0,23.9719714182,24.44947779185,eV
2596.497584,ritz_wl_vac_nm,16011.0,1/s,AAA,1s.5s,3S,1,1s.10p,3P*,1,23.9719714182,24.44947695951,eV
2596.497952,ritz_wl_vac_nm,16011.0,1/s,AAA,1s.5s,3S,1,1s.10p,3P*,2,23.9719714182,24.44947689179,eV
2612.0212864,ritz_wl_vac_nm,81901.0,1/s,AAA,1s.4d,1D,2,1s.6p,1P*,1,23.73633503536,24.21100267716,eV
2619.20605981,ritz_wl_vac_nm,38540.0,1/s,AA,1s.4d,3D,3,1s.6f,1F*,3,23.7360901901,24.2094557657828,eV
2619.20688352,ritz_wl_vac_nm,296100.0,1/s,AA,1s.4d,3D,2,1s.6f,1F*,3,23.73609033897,24.2094557657828,eV
2619.20840008,ritz_wl_vac_nm,5743.6,1/s,AAA,1s.4d,3D,3,1s.6f,3F*,2,23.7360901901,24.209455342828,eV
2619.2092238,ritz_wl_vac_nm,201000.0,1/s,AAA,1s.4d,3D,2,1s.6f,3F*,2,23.73609033897,24.209455342828,eV
2619.2101505,ritz_wl_vac_nm,1292300.0,1/s,AAA,1s.4d,3D,3,1s.6f,3F*,4,23.7360901901,24.2094550264796,eV
2619.21125132,ritz_wl_vac_nm,105050.0,1/s,AAA,1s.4d,3D,3,1s.6f,3F*,3,23.7360901901,24.209454827529,eV
2619.21207504,ritz_wl_vac_nm,852640.0,1/s,AAA,1s.4d,3D,2,1s.6f,3F*,3,23.73609033897,24.209454827529,eV
2619.22192858,ritz_wl_vac_nm,1085500.0,1/s,AAA,1s.4d,3D,1,1s.6f,3F*,2,23.73609263507,24.209455342828,eV
2620.5615282,ritz_wl_vac_nm,956840.0,1/s,AAA,1s.4d,1D,2,1s.6f,1F*,3,23.73633503536,24.2094557657828,eV
2620.5638709,ritz_wl_vac_nm,26.07,1/s,AA,1s.4d,1D,2,1s.6f,3F*,2,23.73633503536,24.209455342828,eV
2620.56672509,ritz_wl_vac_nm,334300.0,1/s,AA,1s.4d,1D,2,1s.6f,3F*,3,23.73633503536,24.209454827529,eV
2624.08430331,ritz_wl_vac_nm,13600.0,1/s,AA,1s.4f,3F*,3,1s.6g,1G,4,23.737006806968,24.2094923832773,eV
2624.08497989,ritz_wl_vac_nm,70158.0,1/s,AAA,1s.4f,3F*,3,1s.6g,3G,3,23.737006806968,24.2094922614541,eV
2624.08708653,ritz_wl_vac_nm,1306600.0,1/s,AAA,1s.4f,3F*,3,1s.6g,3G,4,23.737006806968,24.2094918821374,eV
2624.08921961,ritz_wl_vac_nm,41290.0,1/s,AA,1s.4f,3F*,4,1s.6g,1G,4,23.737007692183,24.2094923832773,eV
2624.0898962,ritz_wl_vac_nm,1753.6,1/s,AAA,1s.4f,3F*,4,1s.6g,3G,3,23.737007692183,24.2094922614541,eV
2624.09089984,ritz_wl_vac_nm,1374800.0,1/s,AAA,1s.4f,3F*,4,1s.6g,3G,5,23.737007692183,24.2094920807421,eV
2624.09200285,ritz_wl_vac_nm,44636.0,1/s,AAA,1s.4f,3F*,4,1s.6g,3G,4,23.737007692183,24.2094918821374,eV
2624.09583069,ritz_wl_vac_nm,1262600.0,1/s,AAA,1s.4f,3F*,2,1s.6g,3G,3,23.737008760725,24.2094922614541,eV
2624.10049338,ritz_wl_vac_nm,1319900.0,1/s,AAA,1s.4f,1F*,3,1s.6g,1G,4,23.737009722091,24.2094923832773,eV
2624.10116997,ritz_wl_vac_nm,40320.0,1/s,AA,1s.4f,1F*,3,1s.6g,3G,3,23.737009722091,24.2094922614541,eV
2624.10327664,ritz_wl_vac_nm,23530.0,1/s,AA,1s.4f,1F*,3,1s.6g,3G,4,23.737009722091,24.2094918821374,eV
2625.43228485,ritz_wl_vac_nm,7805.0,1/s,AA,1s.4f,3F*,3,1s.6d,1D,2,23.737006806968,24.209249793955,eV
2625.44849156,ritz_wl_vac_nm,14102.0,1/s,AAA,1s.4f,1F*,3,1s.6d,1D,2,23.737009722091,24.209249793955,eV
2625.91402908,ritz_wl_vac_nm,12660.0,1/s,AAA,1s.4f,3F*,3,1s.6d,3D,2,23.737006806968,24.209163157329,eV
2625.91428984,ritz_wl_vac_nm,1113.4,1/s,AAA,1s.4f,3F*,3,1s.6d,3D,3,23.737006806968,24.209163110443,eV
2625.91921301,ritz_wl_vac_nm,20287.0,1/s,AAA,1s.4f,3F*,4,1s.6d,3D,3,23.737007692183,24.209163110443,eV
2625.92112585,ritz_wl_vac_nm,22090.0,1/s,AAA,1s.4f,3F*,2,1s.6d,3D,1,23.737008760725,24.209163835045,eV
2625.92489502,ritz_wl_vac_nm,2454.2,1/s,AAA,1s.4f,3F*,2,1s.6d,3D,2,23.737008760725,24.209163157329,eV
2625.92515578,ritz_wl_vac_nm,50.091,1/s,AAA,1s.4f,3F*,2,1s.6d,3D,3,23.737008760725,24.209163110443,eV
2625.93024174,ritz_wl_vac_nm,6976.0,1/s,AA,1s.4f,1F*,3,1s.6d,3D,2,23.737009722091,24.209163157329,eV
2625.9305025,ritz_wl_vac_nm,639.8,1/s,AA,1s.4f,1F*,3,1s.6d,3D,3,23.737009722091,24.209163110443,eV
2643.966238,ritz_wl_vac_nm,0.29767,1/s,AAA,1s.4p,1P*,1,1s.6p,1P*,1,23.7420700688,24.21100267716,eV
2653.88654,ritz_wl_vac_nm,868540.0,1/s,AAA,1s.4p,1P*,1,1s.6d,1D,2,23.7420700688,24.209249793955,eV
2654.378784,ritz_wl_vac_nm,75.75,1/s,AA,1s.4p,1P*,1,1s.6d,3D,2,23.7420700688,24.209163157329,eV
2667.8927406,ritz_wl_vac_nm,159760.0,1/s,AAA,1s.4d,3D,1,1s.6p,3P*,0,23.73609263507,24.20081970804,eV
2667.902138,ritz_wl_vac_nm,119800.0,1/s,AAA,1s.4d,3D,2,1s.6p,3P*,1,23.73609033897,24.20081577498,eV
2667.9031232,ritz_wl_vac_nm,134200.0,1/s,AAA,1s.4d,3D,3,1s.6p,3P*,2,23.7360901901,24.20081545451,eV
2667.9039778,ritz_wl_vac_nm,23961.0,1/s,AAA,1s.4d,3D,2,1s.6p,3P*,2,23.73609033897,24.20081545451,eV
2667.9153196,ritz_wl_vac_nm,39939.0,1/s,AAA,1s.4d,3D,1,1s.6p,3P*,1,23.73609263507,24.20081577498,eV
2667.9171594,ritz_wl_vac_nm,1597.6,1/s,AAA,1s.4d,3D,1,1s.6p,3P*,2,23.73609263507,24.20081545451,eV
2688.837942,ritz_wl_vac_nm,532850.0,1/s,AAA,1s.4p,3P*,2,1s.6s,3S,1,23.7078912279,24.1689982232,eV
2688.844446,ritz_wl_vac_nm,319710.0,1/s,AAA,1s.4p,3P*,1,1s.6s,3S,1,23.7078923433,24.1689982232,eV
2688.924213,ritz_wl_vac_nm,106570.0,1/s,AAA,1s.4p,3P*,0,1s.6s,3S,1,23.7079060221,24.1689982232,eV
2725.974453,ritz_wl_vac_nm,0.24625,1/s,AAA,1s.4d,1D,2,1s.6s,1S,0,23.73633503536,24.1911602752,eV
2760.786066,ritz_wl_vac_nm,754430.0,1/s,AAA,1s.4p,1P*,1,1s.6s,1S,0,23.7420700688,24.1911602752,eV
2786.79611,ritz_wl_vac_nm,20818.0,1/s,AAA,1s.5s,3S,1,1s.9p,3P*,0,23.9719714182,24.41687012452,eV
2786.803285,ritz_wl_vac_nm,20818.0,1/s,AAA,1s.5s,3S,1,1s.9p,3P*,1,23.9719714182,24.41686897915,eV
2786.803869,ritz_wl_vac_nm,20818.0,1/s,AAA,1s.5s,3S,1,1s.9p,3P*,2,23.9719714182,24.41686888593,eV
2814.857689,ritz_wl_vac_nm,29201.0,1/s,AAA,1s.5s,1S,0,1s.10p,1P*,1,24.0112149898,24.451678459372,eV
2854.977721,ritz_wl_vac_nm,120680.0,1/s,AAA,1s.4s,3S,1,1s.5p,3P*,0,23.593958713,24.0282324989,eV
2855.022916,ritz_wl_vac_nm,120680.0,1/s,AAA,1s.4s,3S,1,1s.5p,3P*,1,23.593958713,24.0282256244,eV
2855.0266,ritz_wl_vac_nm,120680.0,1/s,AAA,1s.4s,3S,1,1s.5p,3P*,2,23.593958713,24.028225064,eV
2930.729689,ritz_wl_vac_nm,2582.8,1/s,AAA,1s.5p,3P*,2,1s.10d,3D,1,24.028225064,24.451273968544,eV
2930.730701,ritz_wl_vac_nm,23243.0,1/s,AAA,1s.5p,3P*,2,1s.10d,3D,2,24.028225064,24.451273822448,eV
2930.730773,ritz_wl_vac_nm,92980.0,1/s,AAA,1s.5p,3P*,2,1s.10d,3D,3,24.028225064,24.451273812052,eV
2930.733571,ritz_wl_vac_nm,38742.0,1/s,AAA,1s.5p,3P*,1,1s.10d,3D,1,24.0282256244,24.451273968544,eV
2930.734583,ritz_wl_vac_nm,69730.0,1/s,AAA,1s.5p,3P*,1,1s.10d,3D,2,24.0282256244,24.451273822448,eV
2930.781196,ritz_wl_vac_nm,51656.0,1/s,AAA,1s.5p,3P*,0,1s.10d,3D,1,24.0282324989,24.451273968544,eV
2989.960614,ritz_wl_vac_nm,63246.0,1/s,AAA,1s.5p,3P*,2,1s.10s,3S,1,24.028225064,24.44289339729,eV
2989.964655,ritz_wl_vac_nm,37948.0,1/s,AAA,1s.5p,3P*,1,1s.10s,3S,1,24.0282256244,24.44289339729,eV
2990.014224,ritz_wl_vac_nm,12649.0,1/s,AAA,1s.5p,3P*,0,1s.10s,3S,1,24.0282324989,24.44289339729,eV
3032.3248941,ritz_wl_vac_nm,13169.0,1/s,AAA,1s.5d,1D,2,1s.10p,1P*,1,24.042803412125,24.451678459372,eV
3033.79423575,ritz_wl_vac_nm,3255.0,1/s,AA,1s.5d,3D,3,1s.10f,1F*,3,24.042662242088,24.451339261024,eV
3033.79482546,ritz_wl_vac_nm,25000.0,1/s,AA,1s.5d,3D,2,1s.10f,1F*,3,24.042662321526,24.451339261024,eV
3033.79506377,ritz_wl_vac_nm,588.22,1/s,AAA,1s.5d,3D,3,1s.10f,3F*,2,24.042662242088,24.451339149483,eV
3033.79557079,ritz_wl_vac_nm,132350.0,1/s,AAA,1s.5d,3D,3,1s.10f,3F*,4,24.042662242088,24.4513390811842,eV
3033.79565348,ritz_wl_vac_nm,20586.0,1/s,AAA,1s.5d,3D,2,1s.10f,3F*,2,24.042662321526,24.451339149483,eV
3033.79584143,ritz_wl_vac_nm,11451.0,1/s,AAA,1s.5d,3D,3,1s.10f,3F*,3,24.042662242088,24.4513390447263,eV
3033.79643113,ritz_wl_vac_nm,92647.0,1/s,AAA,1s.5d,3D,2,1s.10f,3F*,3,24.042662321526,24.4513390447263,eV
3033.80435855,ritz_wl_vac_nm,111170.0,1/s,AAA,1s.5d,3D,1,1s.10f,3F*,2,24.042663494166,24.451339149483,eV
3033.814237,ritz_wl_vac_nm,38969.0,1/s,AAA,1s.5s,1S,0,1s.9p,1P*,1,24.0112149898,24.419889314325,eV
3034.84256687,ritz_wl_vac_nm,103980.0,1/s,AAA,1s.5d,1D,2,1s.10f,1F*,3,24.042803412125,24.451339261024,eV
3034.84417366,ritz_wl_vac_nm,28220.0,1/s,AA,1s.5d,1D,2,1s.10f,3F*,3,24.042803412125,24.4513390447263,eV
3037.38771943,ritz_wl_vac_nm,3590.0,1/s,AA,1s.5f,3F*,3,1s.10g,1G,4,24.043154084167,24.45134760401285,eV
3037.38791591,ritz_wl_vac_nm,7529.7,1/s,AAA,1s.5f,3F*,3,1s.10g,3G,3,24.043154084167,24.45134757760769,eV
3037.38852492,ritz_wl_vac_nm,124880.0,1/s,AAA,1s.5f,3F*,3,1s.10g,3G,4,24.043154084167,24.45134749576287,eV
3037.39055944,ritz_wl_vac_nm,4028.0,1/s,AA,1s.5f,3F*,4,1s.10g,1G,4,24.043154465835,24.45134760401285,eV
